hit	miss	fa	cr				tilt	key_resp.keys	key_resp.corr		key_resp.duration
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
1							0	up	1		None
89	57	91	60								
